pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMPDB,1,SLC46A1,13 (13),0.477,1,0,,27 (28),1,1,0.83,1
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,Reactome,1,LY96,13 (13),0.477,1,0,,3 (3),1,1,0.83,1
Gemcitabine Action Pathway,SMPDB,1,CMPK1,13 (13),0.477,1,0,,8 (8),1,1,0.83,1
Gemcitabine Metabolism Pathway,SMPDB,1,CMPK1,13 (13),0.477,1,0,,8 (8),1,1,0.83,1
D-<i>myo</i>-inositol (1_4_5)-trisphosphate degradation,HumanCyc,1,INPP1,13 (13),0.477,1,0,,6 (6),1,1,0.83,1
Transcriptional regulation by RUNX3,Wikipathways,1,ITGAL,13 (13),0.477,1,0,,7 (7),1,1,0.83,1
RHO GTPases Activate NADPH Oxidases,Reactome,1,NCF2,13 (13),0.477,1,0,,11 (12),1,1,0.83,1
Disulfiram Action Pathway,SMPDB,1,ACSS1,25 (25),0.712,1,1,HMDB00158,76 (77),0.671,1,0.831,1
Cardiac Progenitor Differentiation,Wikipathways,3,MEF2C;CXCR4;PDGFRA,53 (53),0.479,1,0,,1 (1),1,1,0.831,1
Mitochondrial biogenesis,Reactome,3,MAPK11;MAPK12;PRKAG2,53 (53),0.479,1,0,,7 (8),1,1,0.831,1
Gene expression (Transcription),Reactome,45,BLK;NCOR1;KMT2C;KDM5B;AGO4;AKT3;KRBA1;EAF2;ELL2;POLR1A;SRSF5;CNOT6L;RRAGD;NFIB;SGK1;NDRG1;MAX;GLS;EPC1;PRR5;KMT2E;CASP1;RNF34;RNU11;KMT2A;MLLT3;SKIL;GTF2A1;CTLA4;MAML2;NR3C1;PRKAG2;TAF7;MAPK11;MDM2;MDM4;ITGAL;NR1D1;JMY;STAT1;NR1D2;BGLAP;COL1A1;CCND2;PRDM1,1364 (1373),0.999,1,1,HMDB01201,45 (66),0.48,1,0.832,1
Steroid Biosynthesis,SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (45),0.48,1,0.832,1
Simvastatin Action Pathway,SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (46),0.48,1,0.832,1
Mevalonic aciduria,SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (45),0.48,1,0.832,1
Smith-Lemli-Opitz Syndrome (SLOS),SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (45),0.48,1,0.832,1
Chondrodysplasia Punctata II_ X Linked Dominant (CDPX2),SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (45),0.48,1,0.832,1
Desmosterolosis,SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (45),0.48,1,0.832,1
Hypercholesterolemia,SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (45),0.48,1,0.832,1
Primary hyperoxaluria II_ PH2,SMPDB,0,,22 (22),1,1,1,HMDB01201,45 (46),0.48,1,0.832,1
Rosuvastatin Action Pathway,SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (46),0.48,1,0.832,1
Pyruvate Dehydrogenase Complex Deficiency,SMPDB,0,,22 (22),1,1,1,HMDB01201,45 (46),0.48,1,0.832,1
Hyper-IgD syndrome,SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (45),0.48,1,0.832,1
Cholesteryl ester storage disease,SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (45),0.48,1,0.832,1
Lysosomal Acid Lipase Deficiency (Wolman Disease),SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (45),0.48,1,0.832,1
Pyruvate kinase deficiency,SMPDB,0,,22 (22),1,1,1,HMDB01201,45 (46),0.48,1,0.832,1
Leigh Syndrome,SMPDB,0,,22 (22),1,1,1,HMDB01201,45 (46),0.48,1,0.832,1
Wolman disease,SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (45),0.48,1,0.832,1
Cerivastatin Action Pathway,SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (46),0.48,1,0.832,1
Pyruvate Metabolism,SMPDB,0,,22 (22),1,1,1,HMDB01201,45 (46),0.48,1,0.832,1
CHILD Syndrome,SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (45),0.48,1,0.832,1
Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency),SMPDB,0,,22 (22),1,1,1,HMDB01201,45 (46),0.48,1,0.832,1
Zoledronate Action Pathway,SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (46),0.48,1,0.832,1
Ibandronate Action Pathway,SMPDB,0,,22 (22),1,1,1,HMDB00220,45 (45),0.48,1,0.832,1
Serotonin HTR1 Group and FOS Pathway,Wikipathways,2,BRAF;PIK3CA,33 (33),0.481,1,0,,3 (3),1,1,0.833,1
Signaling by NOTCH2,Reactome,2,APH1B;MAML2,33 (33),0.481,1,0,,1 (1),1,1,0.833,1
Cargo concentration in the ER,Reactome,2,MIA3;CTAGE5,33 (33),0.481,1,0,,1 (5),1,1,0.833,1
Polythiazide Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Methyclothiazide Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Bumetanide Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (9),1,1,0.833,1
Spironolactone Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Eplerenone Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Triamterene Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Amiloride Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Ethacrynic Acid Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (9),1,1,0.833,1
Quinethazone Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Bendroflumethiazide Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Chlorthalidone Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (9),1,1,0.833,1
Trichlormethiazide Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Iminoglycinuria,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (8),1,1,0.833,1
Lysinuric Protein Intolerance,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (8),1,1,0.833,1
Blue diaper syndrome,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (8),1,1,0.833,1
Lysinuric protein intolerance (LPI),SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (8),1,1,0.833,1
Cystinuria,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (8),1,1,0.833,1
Indapamide Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (9),1,1,0.833,1
Furosemide Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Torsemide Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (9),1,1,0.833,1
Hartnup Disorder,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (8),1,1,0.833,1
Glucose Transporter Defect (SGLT2),SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (8),1,1,0.833,1
Kidney Function,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (8),1,1,0.833,1
Glucose Transporter Defect (SGLT2),SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (8),1,1,0.833,1
Metolazone Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,8 (9),1,1,0.833,1
Hydrochlorothiazide Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Cyclothiazide Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Hydroflumethiazide Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Chlorothiazide Action Pathway,SMPDB,2,SLC3A2;ATP1B3,33 (33),0.481,1,0,,9 (9),1,1,0.833,1
Negative regulation of FGFR1 signaling,Reactome,2,BRAF;MKNK1,33 (33),0.481,1,0,,4 (4),1,1,0.833,1
Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4),Wikipathways,2,PRLR;NR3C1,33 (33),0.481,1,0,,2 (3),1,1,0.833,1
Selenoamino acid metabolism,Reactome,2,SECISBP2;HNMT,129 (130),0.988,1,1,HMDB01201,46 (61),0.488,1,0.834,1
Arrhythmogenic Right Ventricular Cardiomyopathy,Wikipathways,4,CACNA1S;GJA1;ITGA3;ITGB7,74 (74),0.487,1,0,,2 (2),1,1,0.837,1
Risedronate Action Pathway,SMPDB,0,,22 (22),1,1,1,HMDB00220,46 (46),0.488,1,0.838,1
Pravastatin Action Pathway,SMPDB,0,,22 (22),1,1,1,HMDB00220,46 (46),0.488,1,0.838,1
Atorvastatin Action Pathway,SMPDB,0,,22 (22),1,1,1,HMDB00220,46 (46),0.488,1,0.838,1
Alendronate Action Pathway,SMPDB,0,,22 (22),1,1,1,HMDB00220,46 (46),0.488,1,0.838,1
Fluvastatin Action Pathway,SMPDB,0,,22 (22),1,1,1,HMDB00220,46 (46),0.488,1,0.838,1
Pamidronate Action Pathway,SMPDB,0,,22 (22),1,1,1,HMDB00220,46 (46),0.488,1,0.838,1
Lovastatin Action Pathway,SMPDB,0,,22 (22),1,1,1,HMDB00220,46 (46),0.488,1,0.838,1
Synthesis of bile acids and bile salts,Reactome,2,NCOA1;PTGIS,34 (34),0.497,1,0,,52 (75),1,1,0.844,1
Prolactin receptor signaling,Reactome,1,PRLR,14 (14),0.502,1,0,,3 (3),1,1,0.848,1
Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Reactome,1,PTGIS,14 (14),0.502,1,0,,14 (29),1,1,0.848,1
Gap junction trafficking and regulation,Reactome,1,GJA1,14 (14),0.502,1,0,,2 (2),1,1,0.848,1
stress induction of hsp regulation,BioCarta,1,CASP3,14 (14),0.502,1,0,,1 (1),1,1,0.848,1
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,Reactome,1,NDRG1,14 (14),0.502,1,0,,4 (7),1,1,0.848,1
Golgi Cisternae Pericentriolar Stack Reorganization,Reactome,1,USO1,14 (14),0.502,1,0,,3 (3),1,1,0.848,1
Regulation of TP53 Activity through Association with Co-factors,Reactome,1,AKT3,14 (14),0.502,1,0,,2 (2),1,1,0.848,1
Warfarin Pathway_ Pharmacodynamics,PharmGKB,1,BGLAP,14 (14),0.502,1,0,,1 (1),1,1,0.848,1
Lysosphingolipid and LPA receptors,Reactome,1,S1PR1,14 (14),0.502,1,0,,3 (5),1,1,0.848,1
sumoylation by ranbp2 regulates transcriptional repression,BioCarta,1,MDM2,14 (14),0.502,1,0,,1 (1),1,1,0.848,1
Malonyl-coa decarboxylase deficiency,SMPDB,1,ACSS1,14 (14),0.502,1,0,,38 (38),1,1,0.848,1
Malonic Aciduria,SMPDB,1,ACSS1,14 (14),0.502,1,0,,38 (38),1,1,0.848,1
Propanoate Metabolism,SMPDB,1,ACSS1,14 (14),0.502,1,0,,38 (38),1,1,0.848,1
Methylmalonic Aciduria Due to Cobalamin-Related Disorders,SMPDB,1,ACSS1,14 (14),0.502,1,0,,38 (38),1,1,0.848,1
ERK Pathway in Huntington_s Disease,Wikipathways,1,CASP3,14 (14),0.502,1,0,,1 (1),1,1,0.848,1
Antiarrhythmic Pathway_ Pharmacodynamics,PharmGKB,3,CACNA1H;GJA1;GJA5,55 (55),0.504,1,0,,20 (23),1,1,0.849,1
RANKL-RANK (Receptor activator of NFKB (ligand)) Signaling Pathway,Wikipathways,3,STAT1;SQSTM1;ACP5,55 (55),0.504,1,0,,1 (2),1,1,0.849,1
Ub-specific processing proteases,Reactome,11,MDM2;MDM4;CYLD;RNF128;TGFBR1;USP16;BIRC2;ATXN7;PSMB9;USP3;PSMA3,220 (220),0.505,1,0,,1 (1),1,1,0.85,1
The citric acid (TCA) cycle and respiratory electron transport,Reactome,3,SLC25A27;PDP2;NDUFAF2,173 (173),0.991,1,1,HMDB01201,49 (56),0.51,1,0.85,1
Smooth Muscle Contraction,Reactome,2,PAK1;ANXA6,35 (35),0.512,1,0,,4 (4),1,1,0.855,1
Transcriptional Regulation by E2F6,Reactome,2,EPC1;MAX,35 (35),0.512,1,0,,2 (2),1,1,0.855,1
DDX58/IFIH1-mediated induction of interferon-alpha/beta,Reactome,3,TRIM25;NLRC5;TAX1BP1,56 (56),0.516,1,0,,3 (6),1,1,0.857,1
Role of Calcineurin-dependent NFAT signaling in lymphocytes,PID,3,PRKCA;CASP3;PRKCZ,56 (56),0.516,1,0,,2 (2),1,1,0.857,1
Signaling events mediated by HDAC Class I,PID,3,NCOR1;WDR77;MAX,56 (56),0.516,1,0,,1 (1),1,1,0.857,1
Interleukin-20 family signaling,Reactome,1,JAK1,15 (15),0.526,1,0,,2 (2),1,1,0.864,1
InlB-mediated entry of Listeria monocytogenes into host cell,Reactome,1,STAM,15 (15),0.526,1,0,,2 (2),1,1,0.864,1
Regulation of innate immune responses to cytosolic DNA,Reactome,1,ZBP1,15 (15),0.526,1,0,,1 (1),1,1,0.864,1
Sumoylation by RanBP2 regulates transcriptional repression,PID,1,MDM2,15 (15),0.526,1,0,,1 (1),1,1,0.864,1
telomeres telomerase cellular aging and immortality,BioCarta,1,PRKCA,15 (15),0.526,1,0,,1 (3),1,1,0.864,1
repression of pain sensation by the transcriptional regulator dream,BioCarta,1,RPS6KA3,15 (15),0.526,1,0,,1 (1),1,1,0.864,1
Fatty Acid Omega Oxidation,Wikipathways,1,ALDH1A1,15 (15),0.526,1,0,,2 (4),1,1,0.864,1
estrogen responsive protein efp controls cell cycle and breast tumors growth,BioCarta,1,TRIM25,15 (15),0.526,1,0,,1 (1),1,1,0.864,1
WNT5A-dependent internalization of FZD4,Reactome,1,PRKCA,15 (15),0.526,1,0,,4 (5),1,1,0.864,1
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian),HumanCyc,1,IPMK,15 (15),0.526,1,0,,10 (11),1,1,0.864,1
Validated nuclear estrogen receptor beta network,PID,1,NCOA1,15 (15),0.526,1,0,,1 (1),1,1,0.864,1
D-<i>myo</i>-inositol (1_3_4)-trisphosphate biosynthesis,HumanCyc,1,IPMK,15 (15),0.526,1,0,,7 (8),1,1,0.864,1
Histidine Metabolism,SMPDB,1,HNMT,15 (15),0.526,1,0,,39 (40),1,1,0.864,1
Histidinemia,SMPDB,1,HNMT,15 (15),0.526,1,0,,39 (40),1,1,0.864,1
Mercaptopurine Metabolism Pathway,SMPDB,1,XDH,15 (15),0.526,1,0,,18 (24),1,1,0.864,1
Early Phase of HIV Life Cycle,Reactome,1,CXCR4,15 (15),0.526,1,0,,1 (2),1,1,0.864,1
Glycogen Synthesis and Degradation,Wikipathways,2,GBE1;PYGL,36 (36),0.528,1,0,,5 (6),1,1,0.865,1
Trk receptor signaling mediated by PI3K and PLC-gamma,PID,2,PIK3CA;CAMK2A,36 (36),0.528,1,0,,3 (3),1,1,0.865,1
HSF1-dependent transactivation,Reactome,2,CAMK2D;CAMK2A,36 (36),0.528,1,0,,4 (4),1,1,0.865,1
Metalloprotease DUBs,Reactome,2,STAM;NLRP3,36 (36),0.528,1,0,,1 (1),1,1,0.865,1
Caspase Cascade in Apoptosis,PID,3,SATB1;CASP3;TNFSF10,57 (57),0.528,1,0,,1 (2),1,1,0.865,1
Androgen and estrogen biosynthesis and metabolism,EHMN,0,,87 (89),1,1,1,HMDB00295,53 (62),0.538,1,0.871,1
Endometrial cancer - Homo sapiens (human),KEGG,3,AKT3;BRAF;PIK3CA,58 (58),0.54,1,0,,1 (1),1,1,0.873,1
Regulation of mRNA stability by proteins that bind AU-rich elements,Reactome,2,MAPK11;PRKCA,37 (37),0.542,1,0,,3 (3),1,1,0.874,1
Metabolism of amino acids and derivatives,Reactome,13,GLUL;SLC3A2;DHTKD1;SECISBP2;NAT8L;LIPT1;SLC25A21;GCAT;CSAD;ALDH7A1;SLC44A1;GLS;HNMT,339 (342),0.846,1,3,HMDB00158;HMDB01201;HMDB00159,227 (285),0.645,1,0.876,1
p75NTR signals via NF-kB,Reactome,1,SQSTM1,16 (16),0.549,1,0,,2 (2),1,1,0.878,1
KSRP (KHSRP) binds and destabilizes mRNA,Reactome,1,MAPK11,16 (16),0.549,1,0,,3 (3),1,1,0.878,1
Regulation of pyruvate dehydrogenase (PDH) complex,Reactome,1,PDP2,16 (16),0.549,1,0,,14 (14),1,1,0.878,1
Recycling of bile acids and salts,Reactome,1,NCOA1,16 (16),0.549,1,0,,20 (24),1,1,0.878,1
Regulation of KIT signaling,Reactome,1,PRKCA,16 (16),0.549,1,0,,2 (2),1,1,0.878,1
PI3K events in ERBB2 signaling,Reactome,1,PIK3CA,16 (16),0.549,1,0,,3 (4),1,1,0.878,1
Elevation of cytosolic Ca2+ levels,Reactome,1,ITPR2,16 (16),0.549,1,0,,5 (6),1,1,0.878,1
Osteoclast Signaling,Wikipathways,1,ACP5,16 (16),0.549,1,0,,2 (4),1,1,0.878,1
Nuclear Receptors,Wikipathways,2,NR3C1;NR1D2,38 (38),0.557,1,0,,1 (5),1,1,0.883,1
Hedgehog _on_ state,Reactome,2,SPOP;PTCH1,38 (39),0.557,1,0,,2 (2),1,1,0.883,1
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,Reactome,2,SKIL;NCOR1,38 (38),0.557,1,0,,6 (6),1,1,0.883,1
Signaling by Hedgehog,Reactome,4,SEL1L;SYVN1;SPOP;PTCH1,81 (82),0.559,1,0,,11 (11),1,1,0.884,1
Alzheimers Disease,Wikipathways,7,ERN1;EIF2AK3;CASP3;CACNA1S;PPP3CC;PLCB4;ITPR2,145 (145),0.561,1,0,,7 (8),1,1,0.885,1
Acyl chain remodelling of PI,Reactome,1,PLA2G12A,17 (17),0.571,1,0,,4 (8),1,1,0.891,1
TRAF6 mediated IRF7 activation,Reactome,1,TRIM25,17 (17),0.571,1,0,,2 (2),1,1,0.891,1
Activated point mutants of FGFR2,Reactome,1,FGFR2,17 (17),0.571,1,0,,3 (10),1,1,0.891,1
Nitrogen metabolism - Homo sapiens (human),KEGG,1,GLUL,17 (17),0.571,1,0,,17 (19),1,1,0.891,1
Biosynthesis of DHA-derived SPMs,Reactome,1,ALOX12,17 (19),0.571,1,0,,17 (72),1,1,0.891,1
endocytotic role of ndk phosphins and dynamin,BioCarta,1,PPP3CC,17 (17),0.571,1,0,,3 (3),1,1,0.891,1
superpathway of steroid hormone biosynthesis,HumanCyc,1,HSD17B11,17 (17),0.571,1,0,,32 (35),1,1,0.891,1
Butanoate metabolism,INOH,1,EHHADH,17 (17),0.571,1,0,,20 (23),1,1,0.891,1
Trafficking of GluR2-containing AMPA receptors,Reactome,1,PRKCA,17 (17),0.571,1,0,,5 (6),1,1,0.891,1
FGFR2 mutant receptor activation,Reactome,1,FGFR2,17 (17),0.571,1,0,,3 (11),1,1,0.891,1
Zinc transporters,Reactome,1,SLC39A4,17 (17),0.571,1,0,,1 (1),1,1,0.891,1
Doxorubicin Metabolism Pathway,SMPDB,1,XDH,17 (17),0.571,1,0,,14 (14),1,1,0.891,1
Mitochondrial LC-Fatty Acid Beta-Oxidation,Wikipathways,1,EHHADH,17 (17),0.571,1,0,,2 (6),1,1,0.891,1
Simplified Depiction of MYD88 Distinct Input-Output Pathway,Wikipathways,1,TLR5,17 (17),0.571,1,0,,1 (1),1,1,0.891,1
4-hydroxytamoxifen_ Dexamethasone_ and Retinoic Acids Regulation of p27 Expression,Wikipathways,1,MKNK1,17 (17),0.571,1,0,,4 (13),1,1,0.891,1
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,Reactome,2,TRIM25;RCHY1,39 (39),0.571,1,0,,8 (10),1,1,0.891,1
Acebutolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Oxprenolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Esmolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Verapamil Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Disopyramide Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Procainamide (Antiarrhythmic) Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Fosphenytoin (Antiarrhythmic) Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,11 (11),1,1,0.893,1
Bopindolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,9 (9),1,1,0.893,1
Timolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Carteolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Bevantolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Practolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Dobutamine Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Isoprenaline Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Arbutamine Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,9 (10),1,1,0.893,1
Amiodarone Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Levobunolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Metipranolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Mexiletine Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Quinidine Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Betaxolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Atenolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Alprenolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,9 (10),1,1,0.893,1
Muscle/Heart Contraction,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,9 (9),1,1,0.893,1
Diltiazem Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Propranolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Pindolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Penbutolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Metoprolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Bisoprolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Bupranolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,9 (9),1,1,0.893,1
Nebivolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Amlodipine Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Nitrendipine Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Nisoldipine Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Nimodipine Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Ibutilide Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Tocainide Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Flecainide Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Isradipine Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,9 (9),1,1,0.893,1
Nifedipine Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Felodipine Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,9 (10),1,1,0.893,1
Nadolol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Sotalol Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Epinephrine Action Pathway,SMPDB,3,CACNA1H;SNTB1;ATP1B3,61 (61),0.574,1,0,,10 (10),1,1,0.893,1
Breast cancer - Homo sapiens (human),KEGG,7,BRAF;WNT10A;NCOA1;PIK3CA;AKT3;FLT4;IGF1R,147 (147),0.576,1,0,,3 (3),1,1,0.894,1
Tyrosine metabolism - Homo sapiens (human),KEGG,0,,36 (36),1,1,1,HMDB00158,59 (78),0.577,1,0.894,1
Hypertrophic cardiomyopathy (HCM) - Homo sapiens (human),KEGG,4,ITGA3;CACNA1S;PRKAG2;ITGB7,83 (83),0.578,1,0,,4 (5),1,1,0.895,1
Glycine_ serine and threonine metabolism - Homo sapiens (human),KEGG,2,GCAT;ALDH7A1,40 (40),0.585,1,0,,39 (50),1,1,0.899,1
Negative regulation of MAPK pathway,Reactome,2,BRAF;PEBP1,40 (40),0.585,1,0,,5 (5),1,1,0.899,1
